"submitNm","distur","siteId","plotId","fireYr","year","cntryId","lastNm","lat","lon","biome","fireId","paired","gtProde","hitRock","orgDepth","srfH2O","topoPos","slope","vegCvr","tsf","tsfClass","estDoy","estDepth","n"
"Baillargeon","burned","a","15B1-T1-4",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",93,1
"Baillargeon","burned","a","15B1-T1-4",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",139,1
"Baillargeon","burned","a","15B1-T1-5",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",93,1
"Baillargeon","burned","a","15B1-T1-5",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",149,1
"Baillargeon","burned","a","15B1-T1-6",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",83,1
"Baillargeon","burned","a","15B1-T1-6",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",139,1
"Baillargeon","burned","a","15B1-T1-7",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",56,1
"Baillargeon","burned","a","15B1-T1-7",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",74,1
"Baillargeon","burned","a","15B1-T1-8",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",56,1
"Baillargeon","burned","a","15B1-T1-8",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",75,1
